ADN	ad
détériorer	de.te.ʁjɔ.ˈʁe
développement	de.və.lɔ.ˈpəm
développer	de.və.lɔ.ˈpe
dévier	de.ˈvje
dévorer	de.vɔ.ˈʁe
dévouement	de.ˈvum
dévoué	de.ˈvue
dévoyer	de.vwa.ˈje
déçu	de.ˈsy
dé à coudre	dea.ˈkudʁ
dès	dɛ
dîner	di.ˈne
eau	o
edelweiss	ə.də.lwɛ.ˈjis
effacer	ɛ.fa.ˈse
effacer en grattant	ɛ.fa.se.gʁa.ˈtã
effectif	ɛ.fɛk.ˈtif
effet	ɛ.ˈfɛ
effleurer	ɛ.flœ.ˈʁe
effort	ɛ.ˈfɔʁ
effraie	ɛ.ˈfʁɛ
effroi	ɛ.ˈfʁwa
eh bien	ɛ.ˈbi
elle	ɛl
elles	ɛl
embarras	ã.ba.ˈʁa
embaucher	ã.bo.ˈʃe
embaumer	ã.bo.ˈme
embellir	ã.bɛ.ˈliʁ
embouchure	ã.bu.ˈʃyʁ
embrasser	ã.bʁa.ˈse
emmailloter	ã.ma.jɔ.ˈte
empereur	ã.pə.ˈʁœʁ
emphase	ã.ˈfaz
empire	ã.ˈpiʁ
emplette	ã.ˈplɛt
emploi	ã.ˈplwa
employer	ã.plwa.ˈje
employé	ã.plwa.ˈje
empreinte	ã.ˈpʁɛ̃t
empressement	ã.pʁɛ.ˈsəm
emprunter	ã.pʁy.ˈte
emprunter sur gages	ã.pʁy.te.syʁ.ˈgaʒ
empêcher	ã.pɛ.ˈʃe
empêtrer	ã.pɛ.ˈtʁe
enchantement	ã.ʃã.ˈtəm
enchanter	ã.ʃã.ˈte
enchaînement	ã.ʃɛ.ˈnəm
enchaîner	ã.ʃɛ.ˈne
enclin	ã.ˈklɛ̃
enclin aux accidents	ã.klɛ̃oak.ˈsid
encoche	ã.ˈkɔʃ
encore	ã.ˈkɔʁ
encre	ãkʁ
encyclopédie	ã.si.klɔ.pe.ˈdi
endommager	ã.do.ma.ˈʒe
endroit	ã.ˈdʁwa
enduire	ã.ˈdɥiʁ
endurer	ã.dy.ˈʁe
enfant	ã.ˈfã
enfants	ã.ˈfã
enfant adoptif	ã.fãa.dɔp.ˈtif
enfin	ã.ˈfɛ̃
enflammer	ã.fla.ˈme
engendrer	ã.ʒã.ˈdʁe
engrais	ã.ˈgʁɛ
enjoindre	ã.ˈʒwɛ̃dʁ
enlever	ã.lə.ˈve
ennemi	ɛ.nə.ˈmi
ennuyer	ã.nɥi.ˈje
ennuyeux	ã.nɥi.ˈjø
enquête	ã.ˈkɛt
enregistrer	ã.ʁə.ʒi.ˈstʁe
enrouler	ã.ʁu.ˈle
enrôler	ã.ʁo.ˈle
enseigne	ã.ˈsɛnj
enseignement	ã.sɛ.ˈnjəm
enseigner	ã.sɛ.ˈnje
ensemble	ã.ˈsãbl
ensoleillé	ã.sɔ.lɛ.ˈje
ensorceler	ã.sɔʁ.sə.ˈle
ensuite	ã.ˈsɥit
entamer	ã.ta.ˈme
entasser	ã.ta.ˈse
entendre	ã.ˈtãdʁ
entente	ã.ˈtãt
enterrement	ã.tɛ.ˈʁəm
enthousiasme	ã.tuz.ˈjasm
entier	ã.ˈtje
entièrement	ã.tjɛ.ˈʁəm
entonner	ã.tɔ.ˈne
entonnoir	ã.tɔ.ˈnwaʁ
entortiller	ã.tɔʁ.ti.ˈje
entourer	ã.tu.ˈʁe
entraîner	ã.tʁɛ.ˈne
entraîner des conséquences	ã.tʁɛ.ne.de.kõ.se.ˈkãs
entraîner hors du droit chemin	ã.tʁɛ.neɔʁ.dy.dʁwa.ʃə.ˈmɛ̃
entre	ãtʁ
entreprendre	ã.tʁə.ˈpʁãdʁ
entrer	ã.ˈtʁe
entrer dans	ã.tʁe.ˈdã
entrevue	ã.tʁə.ˈvy
entrée	ã.ˈtʁe
envahir	ã.ˈvaiʁ
enveloppe	ã.və.ˈlɔp
envie	ã.ˈvi
envier	ã.ˈvje
environ	ã.vi.ˈʁõ
environnement	ã.vi.ʁo.ˈnəm
envoyer	ã.vwa.ˈje
envoyeur	ã.vwa.ˈjœʁ
en accord avec	a.kɔ.ʁa.ˈvɛk
en aucune façon	o.kyn.fa.ˈsõ
en aucune manière	o.kyn.ma.ˈnjɛʁ
en avant	a.ˈvã
en dehors de	dəɔʁ.ˈdə
en dépit de	de.pi.ˈdə
en face de	fas.ˈdə
en fait	fɛ
en gros	gʁo
en général	ʒe.ne.ˈʁal
en haut	o
en imposer à	ɛ̃.po.ˈzea
en largeur	laʁ.ˈʒœʁ
en même temps	mɛm.ˈtã
en outre	utʁ
en partie	paʁ.ˈti
en passant	pa.ˈsã
en premier lieu	pʁə.mje.ˈljø
en prime	pʁim
en présence de	pʁe.zãs.ˈdə
en relation avec	ʁə.la.sjõa.ˈvɛk
en réalité	ʁea.li.ˈte
en sûreté	sy.ʁə.ˈte
en tous temps	tu.ˈtã
en vain	vɛ̃
en vérité	ve.ʁi.ˈte
errer	ɛ.ˈʁe
erreur	ɛ.ˈʁœʁ
escadron aérien	ɛ.ska.dʁõae.ˈʁi
escalier	ɛ.ska.ˈlje
escargot	ɛ.skaʁ.ˈgo
escarpé	ɛ.skaʁ.ˈpe
esclave	ɛ.ˈsklav
escorte	ɛ.ˈskɔʁt
espace	ɛ.ˈspas
espagnol	ɛ.spa.ˈnjɔl
espion	ɛsp.ˈjõ
esplanade	ɛ.spla.ˈnad
espoir	ɛsp.ˈwaʁ
esprit	ɛ.ˈspʁi
espérance	ɛ.spe.ˈʁãs
espéranto	ɛ.spe.ʁã.ˈto
espérer	ɛ.spe.ˈʁe
espèce	ɛ.ˈspɛs
espèce biologique	ɛ.spɛs.bjo.lo.ˈʒik
esquisse	ɛ.ˈskis
esquisser	ɛ.ski.ˈse
essai	ɛ.ˈsɛ
essayer	e.se.ˈje
essence	ɛ.ˈsãs
essentiel	ɛ.sã.ˈsjɛl
essuyer	ɛ.syi.ˈje
est	ɛst
estampiller	ɛ.stã.pi.ˈje
estime	ɛ.ˈstim
estimer	ɛ.sti.ˈme
estomac	ɛ.stɔ.ˈma
estonien	ɛ.sto.ˈni
estrade	ɛ.ˈstʁad
esturgeon	ɛ.styʁ.ˈʒõ
et	e
etc.	ɛtk
et puis	e.ˈpɥi
exact	ɛg.ˈza
exactement	ɛg.zak.ˈtəm
exactitude	ɛg.zak.ti.ˈtyd
examen	ɛg.za.ˈmɛn
examen de sortie	ɛg.za.mɛn.də.sɔʁ.ˈti
examen final	ɛg.za.mɛn.fi.ˈnal
examiner	ɛg.za.mi.ˈne
excellent	ɛk.ˈsɛl
excepter	ɛk.sɛp.ˈte
exciter	ɛk.si.ˈte
excrément	ɛk.ˈskʁem
excursion	ɛk.skyʁ.ˈsjõ
excuser	ɛk.sky.ˈze
excès	ɛk.ˈsɛ
exemple	ɛg.ˈzãpl
exempter	ɛg.zãp.ˈte
exercer	ɛg.zɛʁ.ˈse
exercice	ɛg.zɛʁ.ˈsis
exhalaison	ɛg.za.lɛ.ˈzõ
exhaler un odeur	ɛg.za.leœ̃o.ˈdœʁ
exhorter	ɛg.zɔʁ.ˈte
exiger	ɛg.zi.ˈʒe
exiler	ɛg.zi.ˈle
exister	ɛg.zi.ˈste
experimenté	ɛk.spə.ʁi.mã.ˈte
expliquer	ɛk.spli.ˈke
exploitant	ɛkspl.wa.ˈtã
exploiter	ɛkspl.wa.ˈte
explorer	ɛk.splɔ.ˈʁe
exploser	ɛk.splo.ˈze
exposition agricole	ɛk.spo.zi.sjõa.gʁi.ˈkɔl
exposé	ɛk.spo.ˈze
exprimer	ɛk.spʁi.ˈme
exprès	ɛk.ˈspʁɛ
expédier	ɛk.spe.ˈdje
expérience	ɛk.spe.ˈʁjãs
exterminer	ɛk.stɛʁ.mi.ˈne
extraordinaire	ɛk.stʁaoʁ.di.ˈnɛʁ
extrême	ɛk.ˈstʁɛm
extrêmement	ɛk.stʁɛ.ˈməm
exécuter	ɛg.ze.ky.ˈte
fable	fabl
fabrique	fa.ˈbʁik
fabriquer	fa.bʁi.ˈke
face	fas
facile	fa.ˈsil
facilement	fa.si.ˈləm
faciliter	fa.si.li.ˈte
facteur	fak.ˈtœʁ
facture	fak.ˈtyʁ
faculté	fa.kyl.ˈte
faible	fɛbl
faiblesse	fɛ.ˈblɛs
faiblesse de caractère	fɛ.blɛs.də.ka.ʁak.ˈtɛʁ
faim	fɛ̃
faire	fɛʁ
faire accepter	fɛ.ʁak.sɛp.ˈte
faire allusion	fɛ.ʁa.lyz.ˈjõ
faire appel	fɛ.ʁa.ˈpɛl
faire attention à	fɛ.ʁa.tã.ˈtjõa
faire avancer	fɛ.ʁa.vã.ˈse
faire banqueroute	fɛʁ.bã.kə.ˈʁut
faire cadeau	fɛʁ.ka.ˈdo
faire cesser	fɛʁ.sɛ.ˈse
faire cuire au four	fɛʁ.kɥi.ʁo.ˈfuʁ
faire du bruit	fɛʁ.dy.ˈbʁɥi
faire du bruit avec les lèvres	fɛʁ.dy.bʁɥia.vɛ.kle.ˈlɛvʁ
faire du jogging	fɛʁ.dy.ʒog.ˈʒɛ̃g
faire escale à	fɛ.ʁɛ.ska.ˈla
faire fondre	fɛʁ.ˈfõdʁ
faire glisser	fɛʁ.gli.ˈse
faire la cour	fɛʁ.la.ˈkuʁ
faire la noce	fɛʁ.la.ˈnɔs
faire les cent pas	fɛʁ.le.ˈspa
faire le courtage	fɛʁ.lə.kuʁ.ˈtaʒ
faire le malin	fɛʁ.lə.ma.ˈlɛ̃
faire l'acteur	fɛʁ.lak.ˈtœʁ
faire l'amour	fɛʁ.la.ˈmuʁ
faire naître	fɛʁ.ˈnɛtʁ
faire part de	fɛʁ.paʁ.ˈdə
faire paître	fɛʁ.ˈpɛtʁ
faire pipi	fɛʁ.pi.ˈpi
faire ses adieux	fɛʁ.sea.ˈdjø
faire son nid	fɛʁ.sõ.ˈni
faire tomber	fɛʁ.tõ.ˈbe
faire tournoyer	fɛʁ.tuʁ.nwa.ˈje
faire un bruit de succion	fɛ.ʁœ̃.bʁɥi.də.syk.ˈsjõ
faisan	fø.ˈzã
faiseur d'embarras	fɛ.zœʁ.dã.ba.ˈʁa
fait	fɛ
falaise	fa.ˈlɛz
falsifier	fal.si.ˈfje
fameux	fa.ˈmø
famille	fa.ˈmij
fanatique	fa.na.ˈtik
fanfarroner	fã.fa.ʁɔ.ˈne
fantaisie	fã.tɛ.ˈzi
fard	faʁ
farine	fa.ˈʁin
fatalité	fa.ta.li.ˈte
fatiguer	fa.ti.ˈge
fatigué	fa.ti.ˈge
faucher	fo.ˈʃe
faucon	fo.ˈkõ
fausser	fo.ˈse
fauteuil	fo.ˈtœj
faux	fo
favorable	fa.vo.ˈʁabl
favori	fa.vɔ.ˈʁi
faîte	fɛt
façade	fa.ˈsad
feldspath	fɛl.ˈspat
femelle	fə.ˈmɛl
femme	fam
femme de chambre	fam.də.ˈʃãbʁ
femme en travail	fam.tʁa.ˈvaj
fendre	fãdʁ
fenêtre	fə.ˈnɛtʁ
fer	fe
ferme	fɛʁm
fermer	fɛʁ.ˈme
fermer à clé	fɛʁ.mea.ˈkle
fermeture à glissière	fɛʁ.mə.ty.ʁa.gli.ˈsjɛʁ
fermier	fɛʁ.ˈmje
fermoir	fɛʁ.ˈmwaʁ
fervent	fɛʁv
ferveur	fɛʁ.ˈvœʁ
fer à repasser	fea.ʁə.pa.ˈse
fesse	fɛs
feu	fø
feuille	fœj
feuilleter	fœ.jə.ˈte
feuille de déclaration	fœj.də.de.kla.ʁa.ˈsjõ
feuille de placage	fœj.də.pla.ˈkaʒ
fiancé	fjã.ˈse
fiancée	fjã.ˈse
fiançailles	fjã.ˈsaj
fiche	fiʃ
fichier	fi.ˈʃje
fidélité	fi.de.li.ˈte
fidèle	fi.ˈdɛl
fiel	fjɛl
fier	fje
figue	fig
figuier	fig.ˈje
figure	fi.ˈgyʁ
fil	fil
file	fil
filet	fi.ˈlɛ
filiale	fi.ˈljal
fille	fij
filler la laine	fje.la.ˈlɛn
fille publique	fij.py.ˈblik
film	film
fils	fis
fils adoptif	fi.sa.dɔp.ˈtif
filtrer	fil.ˈtʁe
filtre à air	fil.ˈtʁaɛʁ
fin	fɛ̃
finalement	fi.na.ˈləm
finance	fi.ˈnãs
finir	fi.ˈniʁ
finlandais	fi.lã.ˈdɛ
finnois	fi.ˈnwa
fiord	fjɔʁ
fixe	fiks
fixer	fik.ˈse
fièvre	fjɛvʁ
flageller	fla.ʒɛ.ˈle
flairer	flɛ.ˈʁe
flamand	fla.ˈmã
flamber	flã.ˈbe
flamme	flam
flanc	flã
flatter	fla.ˈte
fleur	flœʁ
fleuve	flœv
fleuve Mackenzie	flœv.ma.kã.ˈzi
fleuve Yukon	flœ.vjy.ˈkõ
flirter	flœʁ.ˈte
flocon de neige	flo.kõ.də.ˈnɛʒ
florin	flɔ.ˈʁɛ̃
flot	flo
flotte	flɔt
flotter	flɔ.ˈte
flotte aérienne	flɔ.tae.ˈʁjɛn
fluor	flyɔʁ
fléau	fleo
fléchir	fle.ˈʃiʁ
flêche	flɛʃ
flûte	flyt
foi	fwa
foie	fwa
foin	fwɛ̃
foire	fwaʁ
foire agricole	fwa.ʁa.gʁi.ˈkɔl
fois	fwa
foncer	fõ.ˈse
fonction	fõk.ˈsjõ
fonctionnaire	fõk.sjɔ.ˈnɛʁ
fonctionner	fõk.sjɔ.ˈne
foncé	fõ.ˈse
fond	fõ
fondation	fõ.da.ˈsjõ
fonder	fõ.ˈde
fondre	fõdʁ
fonds	fõ
fontaine	fõ.ˈtɛn
foot	fɔo
football	fut.ˈbol
force	fɔʁs
forcer	fɔʁ.ˈse
forer	fɔ.ˈʁe
forger	fɔʁ.ˈʒe
forgeron	fɔʁ.ʒə.ˈʁõ
forme	fɔʁm
former	fɔʁ.ˈme
formidable	foʁ.mi.ˈdabl
formulaire	foʁ.my.ˈlɛʁ
formule	foʁ.ˈmyl
formuler	foʁ.my.ˈle
fort	fɔʁ
fortement	fɔʁ.ˈtəm
fortune	foʁ.ˈtyn
forum	fo.ˈʁɔm
forêt	fo.ˈʁɛ
forêt vierge	fo.ʁɛ.ˈvjɛʁʒ
fossé	fo.ˈse
fou	fu
foudre	fudʁ
fouet	fwɛ
fouetter	fwɛ.ˈte
fougère	fu.ˈʒɛʁ
fouiller	fu.ˈje
foule	ful
fouler aux pieds	fu.leo.ˈpje
four	fuʁ
fourchette	fuʁ.ˈʃɛt
fourmi	fuʁ.ˈmi
fourmiller	fuʁ.mi.ˈje
fourneau	fuʁ.ˈno
fournir	fuʁ.ˈniʁ
fourniture	fuʁ.ni.ˈtyʁ
fourrer	fu.ˈʁe
fourrure	fu.ˈʁyʁ
foutre	futʁ
foyer	fwa.ˈje
fracasser	fʁa.ka.ˈse
fraction	fʁak.ˈsjõ
fracture	fʁak.ˈtyʁ
fragile	fʁa.ˈʒil
fragment	fʁagm
frais	fʁɛ
fraise	fʁɛz
framboise	fʁã.ˈbwaz
franc	fʁã
francium	fʁã.ˈsjɔm
français	fʁã.ˈsɛ
frapper	fʁa.ˈpe
frauder	fʁo.ˈde
frein	fʁɛ̃
freiner	fʁɛ.ˈne
frein de secours	fʁɛ̃.də.sə.ˈkuʁ
frein de sûreté	fʁɛ̃.də.sy.ʁə.ˈte
friandise	fʁjã.ˈdiz
frire	fʁiʁ
friser	fʁi.ˈze
frisonne	fʁi.ˈzɔn
frisson	fʁi.ˈsõ
frivole	fʁi.ˈvɔl
froid	fʁwa
froisser	fʁwa.ˈse
fromage	fʁo.ˈmaʒ
froment	fʁɔm
front	fʁõ
frontière	fʁõ.ˈtjɛʁ
frotter	fʁɔ.ˈte
fruit	fʁɥi
fruitier	fʁɥi.ˈtje
fruit à coque	fʁɥia.ˈkɔk
fréquemment	fʁe.ˈkam
fréquent	fʁek
fréquenter	fʁe.kã.ˈte
frère	fʁɛʁ
frêne	fʁɛn
fuir	fɥiʁ
fuite	fɥit
fumer	fy.ˈme
fumier	fy.ˈmje
fumée	fy.ˈme
furieux	fy.ˈʁjø
fusil	fy.ˈzi
fusiller	fy.zi.ˈje
fusil à air comprimé	fy.ziaɛʁ.kõ.pʁi.ˈme
fusée	fy.ˈze
futilité	fy.ti.li.ˈte
futur	fy.ˈtyʁ
fécond	fe.ˈkõ
fédération	fe.de.ʁa.ˈsjõ
fée	fe
féliciter	fe.li.si.ˈte
féroce	fe.ˈʁɔs
février	fevʁ.ˈje
fève	fɛv
fête	fɛt
fêter	fɛ.ˈte
fôlatrer	fo.la.ˈtʁe
fût	fy
gagner	ga.ˈnje
gai	gɛ
gain	gɛ̃
gaine	gɛn
galerie	ga.lə.ˈʁi
galicien	ga.li.ˈsi
gallois	ga.ˈlwa
galoche	ga.ˈloʃ
galoper	ga.lɔ.ˈpe
gambader	gã.ba.ˈde
gamin	ga.ˈmɛ̃
gant	gã
garage	ga.ˈʁaʒ
garantir	ga.ʁã.ˈtiʁ
garde	gaʁd
garder	gaʁ.ˈde
gardien	gaʁ.ˈdi
gare	gaʁ
garer	ga.ˈʁe
garnir	gaʁ.ˈniʁ
garçon	gaʁ.ˈsõ
garçon de café	gaʁ.sõ.də.ka.ˈfe
gaspiller	ga.spi.ˈje
gauche	goʃ
gaufre	gofʁ
gaule	gol
gaulois	go.ˈlwa
gaz	gaz
gazette	ga.ˈzɛt
gazon	ga.ˈzõ
gazouiller	ga.zu.ˈje
gaz intestinale	ga.zɛ̃.tɛ.sti.ˈnal
gaélique	gae.ˈlik
gel	ʒɛl
geler	ʒə.ˈle
gelée	ʒə.ˈle
gencive	ʒã.ˈsiv
gendarme	ʒã.ˈdaʁm
gendre	ʒãdʁ
genou	ʒə.ˈnu
genre	ʒãʁ
gens	ʒ
gentil	ʒã.ˈti
genêt	ʒə.ˈnɛ
gerbe	ʒɛʁb
germain	ʒɛʁ.ˈmɛ̃
germanique	ʒɛʁ.ma.ˈnik
germe	ʒɛʁm
germer	ʒɛʁ.ˈme
geste	ʒɛst
ghanéen	ga.ˈne
gibbon	ʒi.ˈbõ
gigantesque	ʒi.gã.ˈtɛsk
gilet	ʒi.ˈlɛ
girafe	ʒi.ˈʁaf
giroflée des murailles	ʒi.ʁo.fle.de.my.ˈʁaj
gisement	ʒi.ˈzəm
gitan	ʒi.ˈtã
glace	glas
gland	glã
glaïeul	gla.ˈjœl
glissant	gli.ˈsã
glissant comme une anguille	gli.sã.kɔ.my.nã.ˈgij
glisser	gli.ˈse
glisser comme une anguille	gli.se.kɔ.my.nã.ˈgij
globe	glɔb
gloire	glwaʁ
glorieux	glɔ.ˈʁjø
glorifier	glɔ.ʁi.ˈfje
gnome	gnom
gnou	nju
golfe Persique	gɔlf.pɛʁ.ˈsik
gomme	gɔm
gonfler	gõ.ˈfle
goret	gɔ.ˈʁɛ
gorge	gɔʁʒ
gorille	gɔ.ˈʁij
gosse	gos
gothique	go.ˈtik
goudron	gu.ˈdʁõ
gouffre	gufʁ
goutte	gut
goutte d'eau	gut.ˈdo
gouvernail	gu.vɛʁ.ˈnaj
gouvernement	gu.vɛʁ.ˈnəm
gouverner	gu.vɛʁ.ˈne
goût	gu
goûter	gu.ˈte
gracieux	gʁa.ˈsjø
grade	gʁad
grain	gʁɛ̃
graine	gʁɛn
graisse	gʁɛs
grammaire	gʁa.ˈmɛʁ
gramme	gʁam
grand	gʁã
grandeur	gʁã.ˈdœʁ
grande personne	gʁãd.pɛʁ.ˈsɔn
grandiose	gʁã.ˈdjoz
grandir	gʁã.ˈdiʁ
grand lac des Esclaves	gʁã.lak.deɛ.ˈsklav
grand lac de l'Ours	gʁã.lak.də.ˈluʁ
granit	gʁa.ˈni
grappe	gʁap
gras	gʁa
gratitude	gʁa.ti.ˈtyd
gratter	gʁa.ˈte
grave	gʁav
graver	gʁa.ˈve
gravier	gʁa.ˈvje
gravir	gʁa.ˈviʁ
gravitation	gʁa.vi.ta.ˈsjõ
grec	gʁɛk
gredin	gʁə.ˈdɛ̃
grenouille	gʁə.ˈnuj
griffe	gʁif
griffer	gʁi.ˈfe
grille	gʁij
griller	gʁi.ˈje
grille d'aération	gʁij.dae.ʁa.ˈsjõ
grillon	gʁi.ˈjõ
grillé	gʁi.ˈje
grimper	gʁɛ̃.ˈpe
grincer	gʁɛ̃.ˈse
grippe	gʁip
gris	gʁi
grive	gʁiv
groenlandais	gʁœã.lã.ˈdɛ
grogner	gʁɔ.ˈnje
gronder	gʁõ.ˈde
gros	gʁo
groseille	gʁo.ˈzɛj
groseillier	gʁo.zɛ.ˈje
grossier	gʁo.ˈsje
grossir	gʁo.ˈsiʁ
grotte	gʁɔt
grouiller	gʁu.ˈje
groupe	gʁup
groupe de travail	gʁup.də.tʁa.ˈvaj
groënlandais	gʁo.lã.ˈdɛ
grue	gʁy
gré	gʁe
grève	gʁɛv
grâce	gʁas
grâce à	gʁa.ˈsa
grêle	gʁɛl
guatémaltèque	ga.te.mal.ˈtɛk
guerre	gɛʁ
guerroyer	gɛ.ʁwa.ˈje
guetter	gɛ.ˈte
gueule	gœl
gui	gi
guichet	gi.ˈʃɛ
guide	gid
guider	gi.ˈde
guignol	gi.ˈnjɔl
guillemet	gi.jə.ˈmɛ
guillemets	gi.jə.ˈmɛ
guinéen	gi.ˈne
guitare	gi.ˈtaʁ
guérir	ge.ˈʁiʁ
guêpe	gɛp
gymnastique	ʒim.na.ˈstik
gémir	ʒe.ˈmiʁ
génie	ʒe.ˈni
général	ʒe.ne.ˈʁal
génération	ʒe.ne.ʁa.ˈsjõ
généreux	ʒe.ne.ˈʁø
géographe	ʒeɔ.ˈgʁaf
géographie	ʒeɔ.gʁa.ˈfi
géographique	ʒeɔ.gʁa.ˈfik
géologie	ʒeɔ.lɔ.ˈʒi
géologique	ʒeɔ.lo.ˈʒik
géologue	ʒeɔ.ˈlɔg
géométrie	ʒeɔ.me.ˈtʁi
géorgien	ʒeɔʁ.ˈʒi
géranium	ʒe.ʁa.ˈnjɔm
gérant	ʒe.ˈʁã
gène	ʒɛn
gâcher	ga.ˈʃe
gâteau	ga.ˈto
gâter	ga.ˈte
gêner	ʒɛ.ˈne
gîte	ʒit
habile	a.ˈbil
habileté	a.bi.lə.ˈte
habilité	a.bi.li.ˈte
habiller	a.bi.ˈje
habit	a.ˈbi
habitant	a.bi.ˈtã
habitation	a.bi.ta.ˈsjõ
habiter	a.bi.ˈte
habitude	a.bi.ˈtyd
habituel	a.bi.ˈtyɛl
habituer	a.bi.ˈtye
hache	aʃ
hacher	a.ˈʃe
haie	ɛ
haleine	a.ˈlɛn
halte	alt
hameau	a.ˈmo
hameçon	a.mə.ˈsõ
hanche	ãʃ
hangar	ã.ˈgaʁ
hanneton	a.nə.ˈtõ
hardi	aʁ.ˈdi
hareng	aʁ
haricot	a.ʁi.ˈko
harmonieux	aʁ.mo.ˈnjø
harmonique	aʁ.mo.ˈnik
hasard	a.ˈzaʁ
hausser	o.ˈse
hausser les épaules	o.se.lee.ˈpol
haut	o
hauteur	o.ˈtœʁ
hawaiien	o.ˈwɛ
haïr	aiʁ
hebdomadairement	ɛb.dɔ.ma.dɛ.ˈʁəm
hectolitre	ɛk.tɔ.ˈlitʁ
hectomètre	ɛk.to.ˈmɛtʁ
hein	ɛ̃
hennir	ɛ.ˈniʁ
hente	ãt
herbe	ɛʁb
herser	ɛʁ.ˈse
heure	œʁ
heureusement	œ.ʁø.ˈzəm
heureux	œ.ˈʁø
heurter	œʁ.ˈte
hibou	i.ˈbu
hideux	i.ˈdø
hier	je
hier soir	je.ˈswaʁ
hindou	ɛ̃.ˈdu
hipothétique	i.pɔ.tɛ.ˈtik
hippopotame	i.pɔ.pɔ.ˈtam
hirondelle	i.ʁõ.ˈdɛl
hirsute	iʁ.ˈsyt
hispanique	i.spa.ˈnik
histoire	ist.ˈwaʁ
hiver	i.ˈve
homard	o.ˈmaʁ
hommage	ɔ.ˈmaʒ
homme	ɔm
homme de science	ɔm.də.ˈsjãs
hondurien	õ.dy.ˈʁi
hongrois	õ.ˈgʁwa
honneur	ɔ.ˈnœʁ
honnête	o.ˈnɛt
honorer	o.nɔ.ˈʁe
hop	ɔp
hoqueter	ɔ.kə.ˈte
horizon	o.ʁi.ˈzõ
horizontal	o.ʁi.zõ.ˈtal
horloge	ɔʁ.ˈlɔʒ
horloger	ɔʁ.lɔ.ˈʒe
hormis	ɔʁ.ˈmi
horoscope	o.ʁo.ˈskɔp
horreur	ɔ.ˈʁœʁ
horrible	ɔ.ˈʁibl
hors de	ɔʁ.ˈdə
hostile	o.ˈstil
houblon	u.ˈblõ
houe	u
houp	u
houx	u
huile	ɥil
huit	ɥi
humain	y.ˈmɛ̃
humble	ybl
humide	y.ˈmid
humilier	y.mi.ˈlje
humour	y.ˈmuʁ
humus	y.ˈmy
huppe	yp
hurler	yʁ.ˈle
hutte	yt
huître	ɥitʁ
hybride	i.ˈbʁid
hygiénique	iʒ.je.ˈnik
hygiène	iʒ.ˈjɛn
hymne	imn
hypnose	ip.ˈnoz
hypnotiser	ip.nɔ.ti.ˈze
hypocrite	i.po.ˈkʁit
hypothèque	i.po.ˈtɛk
hypothèse	i.po.ˈtɛz
hystérie	i.ste.ˈʁi
hystérique	i.ste.ˈʁik
hyène	jɛn
hébraïque	e.ˈbʁaik
hébreu	e.ˈbʁø
hélas	e.ˈla
hélice	e.ˈlis
hélium	e.ˈljɔm
hémorrhoïde	e.mɔ.ˈʁoid
hémorrhoïdes	e.mɔ.ˈʁoid
héraut	e.ˈʁo
hérisser	e.ʁi.ˈse
héritage	e.ʁi.ˈtaʒ
hériter	e.ʁi.ˈte
héron	e.ˈʁõ
héros	e.ˈʁo
héroïne	e.ˈʁɔin
héroïque	e.ˈʁɔik
héroïsme	e.ˈʁɔism
hérésie	e.ʁe.ˈzi
hésiter	e.zi.ˈte
hâte	at
hâter	a.ˈte
hâtif	a.ˈtif
hêtre	ɛtʁ
hôpital	o.pi.ˈtal
hôte	ot
hôtel	o.ˈtɛl
hôtel de ville	o.tɛl.də.ˈvil
hôtesse de l'air	o.tɛs.də.ˈlɛʁ
ibérien	i.be.ˈʁi
ibérique	i.be.ˈʁik
ibère	i.ˈbɛʁ
identifier	i.dã.ti.ˈfje
identique	i.dã.ˈtik
idiot	i.ˈdjo
idéal	i.ˈdeal
idée	i.ˈde
if	if
igname	i.ˈnjam
ignominie	i.njɔ.mi.ˈni
ignorer	i.njɔ.ˈʁe
ignoré	i.njɔ.ˈʁe
il	il
illettré	i.lɛ.ˈtʁe
illimité	i.li.mi.ˈte
illuminer	i.ly.mi.ˈne
illusion	i.lyz.ˈjõ
illustre	i.ˈlystʁ
illustrer	i.ly.ˈstʁe
ils	il
il paraît que	il.pa.ʁɛ.ˈkə
il y a	i.li.gʁɛ.ˈka
il y a ...	i.li.gʁɛ.ˈka
image	i.ˈmaʒ
imaginer	i.ma.ʒi.ˈne
imbroglio	ɛ̃.bʁogl.ˈjo
imbécile	ɛ̃.be.ˈsil
imiter	i.mi.ˈte
immense	i.ˈmãs
immerger	i.mɛʁ.ˈʒe
immeuble	i.ˈmœbl
immobile	i.mo.ˈbil
immoral	i.mo.ˈʁal
immédiat	i.me.ˈdja
immédiatement	i.me.dja.ˈtəm
impasse	ɛ̃.ˈpas
imperméable	ɛ̃.pɛʁ.ˈmeabl
impliquer	ɛ̃.pli.ˈke
implorer	ɛ̃.plɔ.ˈʁe
impoli	ɛ̃.pɔ.ˈli
importance	ɛ̃.pɔʁ.ˈtãs
important	ɛ̃.pɔʁ.ˈtã
importer	ɛ̃.pɔʁ.ˈte
imposant	ɛ̃.po.ˈzã
imposer	ɛ̃.po.ˈze
impossible	ɛ̃.po.ˈsibl
impression	ɛ̃.pʁɛ.ˈsjõ
imprimer	ɛ̃.pʁi.ˈme
